coverage-data.xlsx
GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER	DOSES	COVERAGE
COUNTRIES	ABW	Aruba	2023	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2023	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2023	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	9.3
COUNTRIES	ABW	Aruba	2023	MEASLES	Measles	per 1,000,000 total population	
COUNTRIES	ABW	Aruba	2023	MUMPS	Mumps	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2023	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2023	PERTUSSIS	Pertussis	per 1,000,000 total population	9.3
COUNTRIES	ABW	Aruba	2023	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	ABW	Aruba	2023	RUBELLA	Rubella	per 1,000,000 total population	
COUNTRIES	ABW	Aruba	2023	TTETANUS	Total tetanus	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2023	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2023	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2022	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	18.6
COUNTRIES	ABW	Aruba	2022	MEASLES	Measles	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	MUMPS	Mumps	per 1,000,000 total population	18.6
COUNTRIES	ABW	Aruba	2022	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2022	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	ABW	Aruba	2022	RUBELLA	Rubella	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	TTETANUS	Total tetanus	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2022	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2021	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	MEASLES	Measles	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	MUMPS	Mumps	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2021	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	ABW	Aruba	2021	RUBELLA	Rubella	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	TTETANUS	Total tetanus	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2021	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2019	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2019	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2019	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	ABW	Aruba	2019	MEASLES	Measles	per 1,000,000 total population	9.3
COUNTRIES	ABW	Aruba	2019	MUMPS	Mumps	per 1,000,000 total population	9.3
COUNTRIES	ABW	Aruba	2019	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2019	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2019	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	ABW	Aruba	2019	RUBELLA	Rubella	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2019	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2019	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2018	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	ABW	Aruba	2018	MEASLES	Measles	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	MUMPS	Mumps	per 1,000,000 total population	47
COUNTRIES	ABW	Aruba	2018	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2018	PERTUSSIS	Pertussis	per 1,000,000 total population	9.4
COUNTRIES	ABW	Aruba	2018	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	ABW	Aruba	2018	RUBELLA	Rubella	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	TTETANUS	Total tetanus	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2018	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2017	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	ABW	Aruba	2017	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2017	MEASLES	Measles	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2017	MUMPS	Mumps	per 1,000,000 total population	9.5
COUNTRIES	ABW	Aruba	2017	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	ABW	Aruba	2017	PERTUSSIS	Pertussis	per 1,000,000 total population	9.5
COUNTRIES	ABW	Aruba	2017	RUBELLA	Rubella	per 1,000,000 total population	0
COUNTRIES	ABW	Aruba	2017	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2023	CRS	Congenital rubella syndrome	per 10,000 live births	4
COUNTRIES	AFG	Afghanistan	2023	DIPHTHERIA	Diphtheria	per 1,000,000 total population	1.5
COUNTRIES	AFG	Afghanistan	2023	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2023	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2023	MEASLES	Measles	per 1,000,000 total population	67.4
COUNTRIES	AFG	Afghanistan	2023	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2023	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2023	PERTUSSIS	Pertussis	per 1,000,000 total population	36.9
COUNTRIES	AFG	Afghanistan	2023	POLIO	Poliomyelitis	per 1,000,000 <15 population	0.3
COUNTRIES	AFG	Afghanistan	2023	RUBELLA	Rubella	per 1,000,000 total population	10.7
COUNTRIES	AFG	Afghanistan	2023	TTETANUS	Total tetanus	per 1,000,000 total population	2.1
COUNTRIES	AFG	Afghanistan	2023	TYPHOID	Typhoid	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2023	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2022	CRS	Congenital rubella syndrome	per 10,000 live births	5.5
COUNTRIES	AFG	Afghanistan	2022	DIPHTHERIA	Diphtheria	per 1,000,000 total population	1.2
COUNTRIES	AFG	Afghanistan	2022	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2022	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2022	MEASLES	Measles	per 1,000,000 total population	127.3
COUNTRIES	AFG	Afghanistan	2022	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2022	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2022	PERTUSSIS	Pertussis	per 1,000,000 total population	8.2
COUNTRIES	AFG	Afghanistan	2022	POLIO	Poliomyelitis	per 1,000,000 <15 population	
COUNTRIES	AFG	Afghanistan	2022	RUBELLA	Rubella	per 1,000,000 total population	4.8
COUNTRIES	AFG	Afghanistan	2022	TTETANUS	Total tetanus	per 1,000,000 total population	1.2
COUNTRIES	AFG	Afghanistan	2022	TYPHOID	Typhoid	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2022	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2021	CRS	Congenital rubella syndrome	per 10,000 live births	0.4
COUNTRIES	AFG	Afghanistan	2021	DIPHTHERIA	Diphtheria	per 1,000,000 total population	1.5
COUNTRIES	AFG	Afghanistan	2021	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2021	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2021	MEASLES	Measles	per 1,000,000 total population	72.5
COUNTRIES	AFG	Afghanistan	2021	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2021	NTETANUS	Neonatal tetanus	per 1,000 live births	2.1
COUNTRIES	AFG	Afghanistan	2021	PERTUSSIS	Pertussis	per 1,000,000 total population	2.7
COUNTRIES	AFG	Afghanistan	2021	POLIO	Poliomyelitis	per 1,000,000 <15 population	2.4
COUNTRIES	AFG	Afghanistan	2021	RUBELLA	Rubella	per 1,000,000 total population	1.1
COUNTRIES	AFG	Afghanistan	2021	TTETANUS	Total tetanus	per 1,000,000 total population	76.7
COUNTRIES	AFG	Afghanistan	2021	TYPHOID	Typhoid	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2021	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	CRS	Congenital rubella syndrome	per 10,000 live births	4.5
COUNTRIES	AFG	Afghanistan	2020	DIPHTHERIA	Diphtheria	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	INVASIVE_MENING	Invasive meningococcal disease	per 1,000,000 total population	4.1
COUNTRIES	AFG	Afghanistan	2020	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	MEASLES	Measles	per 1,000,000 total population	16.4
COUNTRIES	AFG	Afghanistan	2020	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2020	PERTUSSIS	Pertussis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	POLIO	Poliomyelitis	per 1,000,000 <15 population	17.8
COUNTRIES	AFG	Afghanistan	2020	RUBELLA	Rubella	per 1,000,000 total population	0.6
COUNTRIES	AFG	Afghanistan	2020	TTETANUS	Total tetanus	per 1,000,000 total population	1.8
COUNTRIES	AFG	Afghanistan	2020	TYPHOID	Typhoid	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2020	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2019	DIPHTHERIA	Diphtheria	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	MEASLES	Measles	per 1,000,000 total population	9.3
COUNTRIES	AFG	Afghanistan	2019	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2019	PERTUSSIS	Pertussis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	POLIO	Poliomyelitis	per 1,000,000 <15 population	0
COUNTRIES	AFG	Afghanistan	2019	RUBELLA	Rubella	per 1,000,000 total population	1.6
COUNTRIES	AFG	Afghanistan	2019	TTETANUS	Total tetanus	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	TYPHOID	Typhoid	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2019	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2018	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2018	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0.1
COUNTRIES	AFG	Afghanistan	2018	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2018	MEASLES	Measles	per 1,000,000 total population	54.8
COUNTRIES	AFG	Afghanistan	2018	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2018	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2018	PERTUSSIS	Pertussis	per 1,000,000 total population	13.3
COUNTRIES	AFG	Afghanistan	2018	POLIO	Poliomyelitis	per 1,000,000 <15 population	1.3
COUNTRIES	AFG	Afghanistan	2018	RUBELLA	Rubella	per 1,000,000 total population	1
COUNTRIES	AFG	Afghanistan	2018	TTETANUS	Total tetanus	per 1,000,000 total population	1.4
COUNTRIES	AFG	Afghanistan	2018	TYPHOID	Typhoid	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2018	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2017	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2017	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2017	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2017	MEASLES	Measles	per 1,000,000 total population	42.3
COUNTRIES	AFG	Afghanistan	2017	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2017	NTETANUS	Neonatal tetanus	per 1,000 live births	
COUNTRIES	AFG	Afghanistan	2017	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2017	POLIO	Poliomyelitis	per 1,000,000 <15 population	0.9
COUNTRIES	AFG	Afghanistan	2017	RUBELLA	Rubella	per 1,000,000 total population	1.5
COUNTRIES	AFG	Afghanistan	2017	TTETANUS	Total tetanus	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2017	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2016	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2016	DIPHTHERIA	Diphtheria	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2016	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2016	MEASLES	Measles	per 1,000,000 total population	18.4
COUNTRIES	AFG	Afghanistan	2016	MUMPS	Mumps	per 1,000,000 total population	0.8
COUNTRIES	AFG	Afghanistan	2016	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2016	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2016	POLIO	Poliomyelitis	per 1,000,000 <15 population	0.8
COUNTRIES	AFG	Afghanistan	2016	RUBELLA	Rubella	per 1,000,000 total population	1.2
COUNTRIES	AFG	Afghanistan	2016	TTETANUS	Total tetanus	per 1,000,000 total population	1.1
COUNTRIES	AFG	Afghanistan	2016	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2015	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	AFG	Afghanistan	2015	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2015	JAPENC	Japanese encephalitis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2015	MEASLES	Measles	per 1,000,000 total population	34.1
COUNTRIES	AFG	Afghanistan	2015	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2015	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2015	PERTUSSIS	Pertussis	per 1,000,000 total population	12.8
COUNTRIES	AFG	Afghanistan	2015	POLIO	Poliomyelitis	per 1,000,000 <15 population	1.3
COUNTRIES	AFG	Afghanistan	2015	RUBELLA	Rubella	per 1,000,000 total population	1.7
COUNTRIES	AFG	Afghanistan	2015	TTETANUS	Total tetanus	per 1,000,000 total population	2.2
COUNTRIES	AFG	Afghanistan	2015	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2014	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	AFG	Afghanistan	2014	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2014	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2014	MEASLES	Measles	per 1,000,000 total population	15
COUNTRIES	AFG	Afghanistan	2014	MUMPS	Mumps	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2014	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2014	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2014	POLIO	Poliomyelitis	per 1,000,000 <15 population	1.8
COUNTRIES	AFG	Afghanistan	2014	RUBELLA	Rubella	per 1,000,000 total population	1.3
COUNTRIES	AFG	Afghanistan	2014	TTETANUS	Total tetanus	per 1,000,000 total population	1.2
COUNTRIES	AFG	Afghanistan	2014	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2013	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	AFG	Afghanistan	2013	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2013	JAPENC	Japanese encephalitis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2013	MEASLES	Measles	per 1,000,000 total population	13.6
COUNTRIES	AFG	Afghanistan	2013	MUMPS	Mumps	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2013	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2013	PERTUSSIS	Pertussis	per 1,000,000 total population	11.7
COUNTRIES	AFG	Afghanistan	2013	POLIO	Poliomyelitis	per 1,000,000 <15 population	1.1
COUNTRIES	AFG	Afghanistan	2013	RUBELLA	Rubella	per 1,000,000 total population	11.6
COUNTRIES	AFG	Afghanistan	2013	TTETANUS	Total tetanus	per 1,000,000 total population	0.8
COUNTRIES	AFG	Afghanistan	2013	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2012	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2012	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2012	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2012	MEASLES	Measles	per 1,000,000 total population	91.2
COUNTRIES	AFG	Afghanistan	2012	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2012	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2012	PERTUSSIS	Pertussis	per 1,000,000 total population	49
COUNTRIES	AFG	Afghanistan	2012	POLIO	Poliomyelitis	per 1,000,000 <15 population	3.2
COUNTRIES	AFG	Afghanistan	2012	RUBELLA	Rubella	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2012	TTETANUS	Total tetanus	per 1,000,000 total population	1.2
COUNTRIES	AFG	Afghanistan	2012	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2011	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2011	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2011	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2011	MEASLES	Measles	per 1,000,000 total population	102.7
COUNTRIES	AFG	Afghanistan	2011	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2011	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2011	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2011	POLIO	Poliomyelitis	per 1,000,000 <15 population	5.7
COUNTRIES	AFG	Afghanistan	2011	RUBELLA	Rubella	per 1,000,000 total population	25.6
COUNTRIES	AFG	Afghanistan	2011	TTETANUS	Total tetanus	per 1,000,000 total population	0.7
COUNTRIES	AFG	Afghanistan	2011	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2010	CRS	Congenital rubella syndrome	per 10,000 live births	0
COUNTRIES	AFG	Afghanistan	2010	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2010	JAPENC	Japanese encephalitis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2010	MEASLES	Measles	per 1,000,000 total population	70.3
COUNTRIES	AFG	Afghanistan	2010	MUMPS	Mumps	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2010	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2010	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2010	POLIO	Poliomyelitis	per 1,000,000 <15 population	2.2
COUNTRIES	AFG	Afghanistan	2010	RUBELLA	Rubella	per 1,000,000 total population	1.6
COUNTRIES	AFG	Afghanistan	2010	TTETANUS	Total tetanus	per 1,000,000 total population	0.8
COUNTRIES	AFG	Afghanistan	2010	YFEVER	Yellow fever	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2009	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2009	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2009	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2009	MEASLES	Measles	per 1,000,000 total population	104.2
COUNTRIES	AFG	Afghanistan	2009	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2009	NTETANUS	Neonatal tetanus	per 1,000 live births	
COUNTRIES	AFG	Afghanistan	2009	PERTUSSIS	Pertussis	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2009	POLIO	Poliomyelitis	per 1,000,000 <15 population	2.8
COUNTRIES	AFG	Afghanistan	2009	RUBELLA	Rubella	per 1,000,000 total population	18.2
COUNTRIES	AFG	Afghanistan	2009	TTETANUS	Total tetanus	per 1,000,000 total population	0.7
COUNTRIES	AFG	Afghanistan	2009	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2008	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2008	DIPHTHERIA	Diphtheria	per 1,000,000 total population	0
COUNTRIES	AFG	Afghanistan	2008	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2008	MEASLES	Measles	per 1,000,000 total population	60.4
COUNTRIES	AFG	Afghanistan	2008	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2008	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2008	PERTUSSIS	Pertussis	per 1,000,000 total population	92.4
COUNTRIES	AFG	Afghanistan	2008	POLIO	Poliomyelitis	per 1,000,000 <15 population	2.4
COUNTRIES	AFG	Afghanistan	2008	RUBELLA	Rubella	per 1,000,000 total population	15.7
COUNTRIES	AFG	Afghanistan	2008	TTETANUS	Total tetanus	per 1,000,000 total population	2.2
COUNTRIES	AFG	Afghanistan	2008	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2007	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2007	DIPHTHERIA	Diphtheria	per 1,000,000 total population	4
COUNTRIES	AFG	Afghanistan	2007	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2007	MEASLES	Measles	per 1,000,000 total population	44
COUNTRIES	AFG	Afghanistan	2007	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2007	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2007	PERTUSSIS	Pertussis	per 1,000,000 total population	227.9
COUNTRIES	AFG	Afghanistan	2007	POLIO	Poliomyelitis	per 1,000,000 <15 population	1.3
COUNTRIES	AFG	Afghanistan	2007	RUBELLA	Rubella	per 1,000,000 total population	5.9
COUNTRIES	AFG	Afghanistan	2007	TTETANUS	Total tetanus	per 1,000,000 total population	2.7
COUNTRIES	AFG	Afghanistan	2007	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2006	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2006	DIPHTHERIA	Diphtheria	per 1,000,000 total population	2.1
COUNTRIES	AFG	Afghanistan	2006	JAPENC	Japanese encephalitis	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2006	MEASLES	Measles	per 1,000,000 total population	78.3
COUNTRIES	AFG	Afghanistan	2006	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2006	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2006	PERTUSSIS	Pertussis	per 1,000,000 total population	98.9
COUNTRIES	AFG	Afghanistan	2006	POLIO	Poliomyelitis	per 1,000,000 <15 population	2.4
COUNTRIES	AFG	Afghanistan	2006	RUBELLA	Rubella	per 1,000,000 total population	7.7
COUNTRIES	AFG	Afghanistan	2006	TTETANUS	Total tetanus	per 1,000,000 total population	1.7
COUNTRIES	AFG	Afghanistan	2006	YFEVER	Yellow fever	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2005	CRS	Congenital rubella syndrome	per 10,000 live births	
COUNTRIES	AFG	Afghanistan	2005	DIPHTHERIA	Diphtheria	per 1,000,000 total population	7.3
COUNTRIES	AFG	Afghanistan	2005	MEASLES	Measles	per 1,000,000 total population	53.1
COUNTRIES	AFG	Afghanistan	2005	MUMPS	Mumps	per 1,000,000 total population	
COUNTRIES	AFG	Afghanistan	2005	NTETANUS	Neonatal tetanus	per 1,000 live births	0
COUNTRIES	AFG	Afghanistan	2005	PERTUSSIS	Pertussis	per 1,000,000 total population	89
COUNTRIES	AFG	Afghanistan	2005	POLIO	Poliomyelitis	per 1,000,000 <15 population	0.7
COUNTRIES	AFG	Afghanistan	2005	RUBELLA	Rubella	per 1,000,000 total population	
